trade_id,zone_id,entry_odds,bet_size,pnl,outcome,capital_before,capital_after,entry_time,resolution_time
470,A2,0.23,2.0,-2.0,LOSS,17.364543870893375,15.364543870893375,2026-04-27 22:13:08.060617+00:00,2026-04-27 22:15:00.012902+00:00
473,A2,0.22,1.0,3.4218181818181828,WIN,15.364543870893375,18.786362052711556,2026-04-27 22:17:38.542866+00:00,2026-04-27 22:20:00.011142+00:00
475,A2,0.23,1.0,3.2291304347826086,WIN,18.786362052711556,22.015492487494164,2026-04-27 22:18:08.611474+00:00,2026-04-27 22:20:00.010898+00:00
476,A2,0.2,1.0,3.865,WIN,22.015492487494164,25.880492487494166,2026-04-27 22:18:28.654723+00:00,2026-04-27 22:20:00.014823+00:00
482,A4,0.62,6.0,3.3754838709677433,WIN,25.880492487494166,29.255976358461908,2026-04-27 22:23:29.318972+00:00,2026-04-27 22:25:00.012859+00:00
486,A8,0.6,6.0,3.6899999999999995,WIN,29.255976358461908,32.945976358461905,2026-04-27 22:26:39.536361+00:00,2026-04-27 22:30:00.017972+00:00
503,A4,0.63,8.0,4.3009523809523795,WIN,32.945976358461905,37.24692873941429,2026-04-27 22:37:10.749869+00:00,2026-04-27 22:40:00.011716+00:00
504,A4,0.59,8.0,5.140338983050848,WIN,37.24692873941429,42.38726772246513,2026-04-27 22:37:20.767319+00:00,2026-04-27 22:40:00.010401+00:00
506,A4,0.56,3.0,2.1932142857142853,WIN,42.38726772246513,44.580482008179416,2026-04-27 22:37:50.886509+00:00,2026-04-27 22:40:00.011268+00:00
514,A4,0.66,11.0,5.140000000000001,WIN,44.580482008179416,49.72048200817942,2026-04-27 22:42:51.717672+00:00,2026-04-27 22:45:00.014081+00:00
519,A8,0.55,10.0,7.627272727272725,WIN,49.72048200817942,57.34775473545214,2026-04-27 22:46:12.009735+00:00,2026-04-27 22:50:00.012574+00:00
520,A8,0.57,10.0,7.005263157894738,WIN,57.34775473545214,64.35301789334687,2026-04-27 22:46:22.028468+00:00,2026-04-27 22:50:00.010803+00:00
521,A8,0.68,9.0,3.8144117647058806,WIN,64.35301789334687,68.16742965805275,2026-04-27 22:46:32.052564+00:00,2026-04-27 22:50:00.017215+00:00
533,A7,0.33,5.0,-5.0,LOSS,68.16742965805275,63.167429658052754,2026-04-27 22:53:23.016409+00:00,2026-04-27 22:55:00.012397+00:00
536,A7,0.31,5.0,-5.0,LOSS,63.167429658052754,58.167429658052754,2026-04-27 22:57:03.354575+00:00,2026-04-27 23:00:00.016752+00:00
537,A7,0.38,5.0,-5.0,LOSS,58.167429658052754,53.167429658052754,2026-04-27 22:57:23.417248+00:00,2026-04-27 23:00:00.012375+00:00
542,A2,0.15,6.0,-6.0,LOSS,53.167429658052754,47.167429658052754,2026-04-27 23:02:54.352752+00:00,2026-04-27 23:05:00.014751+00:00
545,A4,0.64,11.0,5.647812500000001,WIN,47.167429658052754,52.815242158052754,2026-04-27 23:12:05.420043+00:00,2026-04-27 23:15:00.015998+00:00
546,A4,0.65,11.0,5.389999999999997,WIN,52.815242158052754,58.205242158052755,2026-04-27 23:12:15.446303+00:00,2026-04-27 23:15:00.012447+00:00
547,A4,0.55,6.0,4.576363636363636,WIN,58.205242158052755,62.78160579441639,2026-04-27 23:12:25.468712+00:00,2026-04-27 23:15:00.013431+00:00
554,A1,0.22,5.0,-5.0,LOSS,62.78160579441639,57.78160579441639,2026-04-27 23:16:05.815712+00:00,2026-04-27 23:20:00.012963+00:00
556,A6,0.92,15.0,0.746739130434781,WIN,57.78160579441639,58.528344924851176,2026-04-27 23:16:55.913766+00:00,2026-04-27 23:20:00.012607+00:00
582,A7,0.36,4.0,6.793333333333333,WIN,58.528344924851176,65.3216782581845,2026-04-27 23:37:08.639283+00:00,2026-04-27 23:40:00.014556+00:00
586,A4,0.58,16.0,10.736551724137932,WIN,65.3216782581845,76.05822998232244,2026-04-27 23:48:11.040704+00:00,2026-04-27 23:50:00.011484+00:00
598,A8,0.65,16.0,-16.0,LOSS,76.05822998232244,60.058229982322445,2026-04-28 00:11:04.709458+00:00,2026-04-28 00:15:00.017982+00:00
599,A8,0.68,16.0,-16.0,LOSS,60.058229982322445,44.058229982322445,2026-04-28 00:11:14.731615+00:00,2026-04-28 00:15:00.012175+00:00
608,A8,0.58,9.0,-9.0,LOSS,44.058229982322445,35.058229982322445,2026-04-28 00:16:15.528321+00:00,2026-04-28 00:20:00.012276+00:00
629,A7,0.29,2.0,-2.0,LOSS,35.058229982322445,33.058229982322445,2026-04-28 00:28:16.911264+00:00,2026-04-28 00:30:00.011640+00:00
641,A8,0.62,7.0,3.9380645161290335,WIN,33.058229982322445,36.996294498451476,2026-04-28 00:36:07.974734+00:00,2026-04-28 00:40:00.012980+00:00
649,A8,0.6,8.0,4.92,WIN,36.996294498451476,41.91629449845148,2026-04-28 00:41:08.616700+00:00,2026-04-28 00:45:00.022191+00:00
664,A8,0.55,9.0,6.864545454545453,WIN,41.91629449845148,48.78083995299693,2026-04-28 00:46:19.333503+00:00,2026-04-28 00:50:00.018108+00:00
665,A8,0.65,9.0,4.409999999999998,WIN,48.78083995299693,53.190839952996924,2026-04-28 00:46:29.359638+00:00,2026-04-28 00:50:00.013418+00:00
666,A8,0.55,7.0,5.33909090909091,WIN,53.190839952996924,58.52993086208784,2026-04-28 00:46:39.476803+00:00,2026-04-28 00:50:00.015682+00:00
676,A1,0.19,5.0,-5.0,LOSS,58.52993086208784,53.52993086208784,2026-04-28 00:51:30.367917+00:00,2026-04-28 00:55:00.011431+00:00
677,A1,0.18,5.0,-5.0,LOSS,53.52993086208784,48.52993086208784,2026-04-28 00:51:50.412380+00:00,2026-04-28 00:55:00.014695+00:00
680,A7,0.38,4.0,6.223157894736843,WIN,48.52993086208784,54.75308875682468,2026-04-28 00:58:11.193344+00:00,2026-04-28 01:00:00.010495+00:00
683,A8,0.62,12.0,6.7509677419354865,WIN,54.75308875682468,61.504056498760164,2026-04-28 01:01:31.489423+00:00,2026-04-28 01:05:00.016195+00:00
687,A7,0.33,5.0,-5.0,LOSS,61.504056498760164,56.504056498760164,2026-04-28 01:07:52.240516+00:00,2026-04-28 01:10:00.013752+00:00
689,A7,0.35,4.0,-4.0,LOSS,56.504056498760164,52.504056498760164,2026-04-28 01:13:12.868974+00:00,2026-04-28 01:15:00.012089+00:00
692,A4,0.61,13.0,7.648688524590167,WIN,52.504056498760164,60.152745023350334,2026-04-28 01:17:33.339841+00:00,2026-04-28 01:20:00.013951+00:00
698,A7,0.39,5.0,-5.0,LOSS,60.152745023350334,55.152745023350334,2026-04-28 01:22:43.966283+00:00,2026-04-28 01:25:00.014703999+00:00
700,A4,0.58,13.0,8.723448275862069,WIN,55.152745023350334,63.8761932992124,2026-04-28 01:27:04.469015+00:00,2026-04-28 01:30:00.014604+00:00
701,A4,0.62,13.0,7.313548387096777,WIN,63.8761932992124,71.18974168630918,2026-04-28 01:27:24.547109+00:00,2026-04-28 01:30:00.011774+00:00
704,A4,0.61,7.0,4.1185245901639345,WIN,71.18974168630918,75.3082662764731,2026-04-28 01:28:14.659650+00:00,2026-04-28 01:30:00.012700+00:00
706,A8,0.59,16.0,10.280677966101695,WIN,75.3082662764731,85.5889442425748,2026-04-28 01:31:24.928626+00:00,2026-04-28 01:35:00.015320+00:00
712,A6,0.77,21.0,5.380909090909089,WIN,85.5889442425748,90.96985333348388,2026-04-28 13:31:52.820524+00:00,2026-04-28 13:35:00.010013+00:00
714,A4,0.55,21.0,-21.0,LOSS,90.96985333348388,69.96985333348388,2026-04-28 13:33:12.991682+00:00,2026-04-28 13:35:00.010482+00:00
715,A4,0.58,9.0,-9.0,LOSS,69.96985333348388,60.96985333348388,2026-04-28 13:33:23.014362+00:00,2026-04-28 13:35:00.011830+00:00
717,A8,0.66,13.0,6.074545454545454,WIN,60.96985333348388,67.04439878802934,2026-04-28 13:46:04.116276+00:00,2026-04-28 13:50:00.010885+00:00
725,A6,0.87,16.0,1.771034482758619,WIN,67.04439878802934,68.81543327078796,2026-04-28 14:16:26.912018+00:00,2026-04-28 14:20:00.012255+00:00
731,A8,0.66,15.0,7.009090909090908,WIN,68.81543327078796,75.82452417987886,2026-04-28 14:36:18.793005+00:00,2026-04-28 14:40:00.012619+00:00
732,A8,0.66,15.0,7.009090909090908,WIN,75.82452417987886,82.83361508896976,2026-04-28 14:36:28.816879+00:00,2026-04-28 14:40:00.011942+00:00
