trade_id,zone_id,entry_odds,bet_size,pnl,outcome,capital_before,capital_after,entry_time
1288,A3,0.27,1.0,-1.0,LOSS,57.17,56.17,2026-04-29 08:26:08.728425+00:00
1289,A3,0.25,1.0,-1.0,LOSS,56.17,55.17,2026-04-29 08:26:18.759772+00:00
1292,A3,0.27,1.0,-1.0,LOSS,55.17,54.17,2026-04-29 08:36:09.834434+00:00
1296,A7,0.34,2.0,3.7153,WIN,54.17,57.89,2026-04-29 08:47:41.128254+00:00
1298,A7,0.29,2.0,-2.0,LOSS,57.89,55.89,2026-04-29 08:48:01.174347+00:00
1329,A7,0.32,4.0,8.1475,WIN,55.89,64.04,2026-04-29 09:22:14.898704+00:00
1356,A4,0.66,9.0,4.2055,WIN,64.04,68.24,2026-04-29 10:18:00.752645+00:00
1360,A4,0.63,10.0,5.3762,WIN,68.24,73.62,2026-04-29 10:22:31.225271+00:00
1371,A7,0.32,6.0,-6.0,LOSS,73.62,67.62,2026-04-29 10:57:25.330867+00:00
1372,A7,0.28,6.0,-6.0,LOSS,67.62,61.62,2026-04-29 10:57:35.351270+00:00
1373,A7,0.32,6.0,-6.0,LOSS,61.62,55.62,2026-04-29 10:57:45.374180+00:00
1377,A8,0.67,5.0,2.2261,WIN,55.62,57.84,2026-04-29 13:31:20.721008+00:00
1381,A6,0.84,8.0,1.2057,WIN,57.84,59.05,2026-04-29 13:36:31.301893+00:00
1382,A6,0.87,8.0,0.8855,WIN,59.05,59.94,2026-04-29 13:36:41.329120+00:00
1387,A4,0.59,8.0,5.1403,WIN,59.94,65.08,2026-04-29 13:42:41.915167+00:00
1395,A6,0.88,9.0,0.8816,WIN,65.08,65.96,2026-04-29 13:51:02.765090+00:00
1396,A6,0.81,9.0,1.7433,WIN,65.96,67.7,2026-04-29 13:51:12.791136+00:00
1397,A6,0.82,9.0,1.6112,WIN,67.7,69.31,2026-04-29 13:51:32.840909+00:00
1402,A5,0.56,10.0,7.3107,WIN,69.31,76.62,2026-04-29 22:23:05.583147+00:00
1403,A7,0.3,6.0,13.44,WIN,76.62,90.06,2026-04-30 00:17:31.130918+00:00
1407,A3,0.31,2.0,-2.0,LOSS,90.06,88.06,2026-04-30 01:31:05.361976+00:00
